cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11094,0.3315,0.18312294742485957,0.0685,0.31642413260514346,0.2943,0.18312294742485957
11095,0.265,0.31199938084742856,0.038,0.4244167087068576,0.2046,0.3200953082189493
11096,0.4636,0.05911854499499687,0.1142,0.2525264189499621,0.4599,0.04553124600134904
11097,0.1245,0.2814326689499621,0.2407,0.22228280821894936,0.1843,0.22228280821894936
11098,0.1697,0.2471731319836336,0.2695,0.17425755402096244,0.3732,0.11470492481167782
11099,0.2113,0.07481188084742857,0.0995,0.13332852785767677,0.2303,0.03554482242485958
11100,0.353,0.130625,0.3861,0.1075321857487934,0.4384,0.03514247443418037
11101,0.3421,0.1870389342426312,0.2653,0.24093961509181208,0.3333,0.1650304366123997
11102,0.1816,0.24588544649209756,0.1128,0.2822292087068577,0.1312,0.24588544649209756
11103,0.1639,0.2016214091547559,0.0759,0.24432329394996213,0.1604,0.18517343321894936
11104,0.2053,0.33149271833690724,0.1904,0.33149271833690724,0.2814,0.2578125
11105,0.0616,0.4683741636701367,0.1691,0.40654813198363365,0.1678,0.3814791362402739
11106,0.5632,0.04990503375472297,-0.1832,0.48223725108658755,0.3008,0.1692509357487934
11107,0.2134,-0.0644583637597261,-0.0955,0.09965997198000587,0.0735,-0.013489206050037885
11108,0.2101,-0.04604749415257142,0.1868,-0.02150359084524411,0.2238,-0.07761744597903757
11109,0.0072,0.12661099010430285,0.0065,0.11768232149209755,0.011,0.10885454394996212
11110,-0.308,0.21412309890400408,-0.239,0.16882055386466874,-0.3865,0.23779915319722986
11111,0.0287,0.08980733370685764,0.1642,0.0019339091547558812,0.1272,0.0019339091547558812
11112,0.2513,-0.15314421584524412,0.0262,-0.0073739380480471965,0.1819,-0.15314421584524412
11113,-0.0316,0.042203930715353534,-0.1357,0.09198191070450022,-0.1076,0.0617361980633358
11114,0.0349,0.07079768071535354,-0.082,0.12057566070450025,-0.02,0.07079768071535354
11115,0.0884,-0.05253084714232322,-0.3911,0.2138180489284527,-0.1862,0.06934747198000586
11116,-0.2229,0.18372068813436299,-0.2879,0.20704331559505137,-0.3592,0.2310836739284527
11117,0.0823,0.005182668949962117,-0.0322,0.06918042087799868,0.0501,0.005182668949962117
11118,0.2478,-0.05084219178105064,-0.1254,0.15250397873743876,0.1003,0.00830766894996212
11119,-0.0265,0.2721381607045002,0.3466,0.06558619988554801,0.2302,0.09780726124027388
11120,0.0915,0.13504170870685764,0.3715,-0.016642677575140416,0.3187,-0.03181305715100104
11121,-0.3961,0.32096520280981145,0.136,0.03368021833690726,-0.1562,0.16419122198000588
11122,0.4496,-0.2087637755658196,0.0536,0.022932333706857662,0.3554,-0.18060757518832218
11123,0.0182,0.05861018071535355,-0.1878,0.1506281773219032,-0.1011,0.09817559698000587
11124,-0.475,0.269051671424857,0.1596,-0.10354525989569713,-0.1549,0.04430005232190321
11125,-0.2389,0.19388667495213474,0.1525,-0.036425465845244115,-0.0452,0.06080435796210428
